Reactants_SMILES,Products_SMILES,Reaction_SMILES,ROOT:RX_ID,ROOT:RX_NVAR,ROOT:RX_RANK,ROOT:RX_RTYP,ROOT:RX_RCT,ROOT:RX_PRO,ROOT:RX_BIN,ROOT:RXD:CL,ROOT:RXD:STP,ROOT:RXD:T,ROOT:RXD:TYP,ROOT:RXD:SUB,ROOT:RXD:SOL,ROOT:RXD:citation,ROOT:COPYRIGHT:COPYRIGHT,ROOT:RXD:TIM,ROOT:RXD:COND,ROOT:RXD:PH,ROOT:RXD:LCN,ROOT:RXD:COM,ROOT:RXD:RGT,ROOT:RXD:YPRO,ROOT:RXD:YD,ROOT:RXD:NYD,ROOT:RXD:PRT,ROOT:RXD:RXDES,ROOT:RXD:YDO,ROOT:RXD:SNR,ROOT:RXD:SRCT,ROOT:RXD:LB,ROOT:RXD:TI,ROOT:RXD:TXT,ROOT:RXD:CAT
CC1(C)OC(=O)[CH-]C(=O)O1.[K+],CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=S.CN(C)c1ccc(C(c2c([O-])n(C)c(=S)n(C)c2=O)C2C(=O)OC(C)(C)OC2=O)cc1.[K+],CC1(C)OC(=O)[CH-]C(=O)O1.[K+]>>CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=S.CN(C)c1ccc(C(c2c([O-])n(C)c(=S)n(C)c2=O)C2C(=O)OC(C)(C)OC2=O)cc1.[K+],11230266,1,56,full reaction,"potassium 2,2-dimethyl-4-oxo-4H-1,3-dioxin-6-olate|5-(4-dimethylamino-benzylidene)-1,3-dimethyl-2-thioxo-dihydro-pyrimidine-4,6-dione",C21H24N3O6S(1-)*K(1+),217227,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
CC1(C)CC(=O)C=C([O-])C1.[K+],CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=S.CN(C)c1ccc(C(c2c([O-])n(C)c(=S)n(C)c2=O)C2C(=O)CC(C)(C)CC2=O)cc1.[K+],CC1(C)CC(=O)C=C([O-])C1.[K+]>>CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=S.CN(C)c1ccc(C(c2c([O-])n(C)c(=S)n(C)c2=O)C2C(=O)CC(C)(C)CC2=O)cc1.[K+],11230267,1,56,full reaction,"dimedone potassium salt|5-(4-dimethylamino-benzylidene)-1,3-dimethyl-2-thioxo-dihydro-pyrimidine-4,6-dione",C23H28N3O4S(1-)*K(1+),208860,Chemical behaviour,1,20,Michael addition,Kinetics,dimethyl sulfoxide,"7066603; Article; Seeliger, Florian; Berger, Stefan T. A.; Remennikov, Grygoriy Y.; Polborn, Kurt; Mayr, Herbert; Journal of Organic Chemistry; vol. 72; 24; (2007); p. 9170 - 9180;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,,,,,,,,,,,,,
CN(C)CCC(=O)c1ccccc1.[H]Cl,O=C1CCCCC1.O=C(CCC1CCCC(CCC(=O)c2ccccc2)C1=O)c1ccccc1.O=C(CCC1CCCCC1=O)c1ccccc1,CN(C)CCC(=O)c1ccccc1.[H]Cl>>O=C1CCCCC1.O=C(CCC1CCCC(CCC(=O)c2ccccc2)C1=O)c1ccccc1.O=C(CCC1CCCCC1=O)c1ccccc1,25945968,1,56,full reaction|has preparation,3-(dimethylamino)propiophenone hydrochloride|cyclohexanone,C24H26O3|2-(2-benzoylethyl)cyclohexanone,309132|308832,Preparation,1,,Michael addition,,various solvent(s),"7173165; Article; Rao, H. Surya Prakash; Poonguzhali; Senthilkumar; Synthetic Communications; vol. 38; 6; (2008); p. 937 - 942;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,0.0333333,microwave irradiation,,,,,,,,,,,,,,,,
CN(C)CCC(=O)c1ccccc1.[H]Cl,O=C1CCCC1.O=C(CCC1CCCC1=O)c1ccccc1.O=C(CCC1CCC(CCC(=O)c2ccccc2)C1=O)c1ccccc1,CN(C)CCC(=O)c1ccccc1.[H]Cl>>O=C1CCCC1.O=C(CCC1CCCC1=O)c1ccccc1.O=C(CCC1CCC(CCC(=O)c2ccccc2)C1=O)c1ccccc1,25945969,1,56,full reaction|has preparation,3-(dimethylamino)propiophenone hydrochloride|cyclopentanone,"1-phenyl-3-(2-oxocyclopentyl)-1-propanone|2,5-di-(3-oxo-3-phenylpropyl)-1-cyclopentanone",309128|308832,Preparation,1,,Michael addition,,various solvent(s),"7173165; Article; Rao, H. Surya Prakash; Poonguzhali; Senthilkumar; Synthetic Communications; vol. 38; 6; (2008); p. 937 - 942;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,0.0333333,microwave irradiation,,,,,,,,,,,,,,,,
O=C1CCCCC1,COc1ccc(C(=O)CCN(C)C)cc1.[H]Cl.COc1ccc(C(=O)CCC2CCCC(CCC(=O)c3ccc(OC)cc3)C2=O)cc1.COc1ccc(C(=O)CCC2CCCCC2=O)cc1,O=C1CCCCC1>>COc1ccc(C(=O)CCN(C)C)cc1.[H]Cl.COc1ccc(C(=O)CCC2CCCC(CCC(=O)c3ccc(OC)cc3)C2=O)cc1.COc1ccc(C(=O)CCC2CCCCC2=O)cc1,25945970,1,56,full reaction|has preparation,cyclohexanone|3-dimethylamino-1-(4-methoxy-phenyl)-propan-1-one; hydrochloride,C26H30O5|2-[3-(4-Methoxy-phenyl)-3-oxo-propyl]-cyclohexanone,62388|307398,Preparation,1,,Michael addition,,various solvent(s),"7173165; Article; Rao, H. Surya Prakash; Poonguzhali; Senthilkumar; Synthetic Communications; vol. 38; 6; (2008); p. 937 - 942;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,0.0333333,microwave irradiation,,,,,,,,,,,,,,,,
COc1ccc(C(=O)CCN(C)C)cc1.[H]Cl,O=C1CCCC1.COc1ccc(C(=O)CCC2CCCC2=O)cc1.COc1ccc(C(=O)CCC2CCC(CCC(=O)c3ccc(OC)cc3)C2=O)cc1,COc1ccc(C(=O)CCN(C)C)cc1.[H]Cl>>O=C1CCCC1.COc1ccc(C(=O)CCC2CCCC2=O)cc1.COc1ccc(C(=O)CCC2CCC(CCC(=O)c3ccc(OC)cc3)C2=O)cc1,25945971,1,56,full reaction|has preparation,3-dimethylamino-1-(4-methoxy-phenyl)-propan-1-one; hydrochloride|cyclopentanone,"1-(p-Methoxyphenyl)-3-(2'-oxocyclopentyl)-1-propanone|2,5-di[3-(4-methoxyphenyl)-3-oxopropyl]cyclopentan-1-one",309128|308832,Preparation,1,,Michael addition,,various solvent(s),"7173165; Article; Rao, H. Surya Prakash; Poonguzhali; Senthilkumar; Synthetic Communications; vol. 38; 6; (2008); p. 937 - 942;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,0.0333333,microwave irradiation,,,,,,,,,,,,,,,,
N#CC1=CC(=O)C(=O)C=C1,CC1(C)OC(=O)CC(=O)O1.CC1(C)OC(=O)C(c2cc(O)c(O)cc2C#N)=C(O)O1,N#CC1=CC(=O)C(=O)C=C1>>CC1(C)OC(=O)CC(=O)O1.CC1(C)OC(=O)C(c2cc(O)c(O)cc2C#N)=C(O)O1,27925359,1,56,full reaction,"3,4-dioxocyclohexa-1,5-diene-1-carbonitrile|cycl-isopropylidene malonate",C13H11NO6,162984,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
N#CC1=CC(=O)C(=O)C=C1,CC1C(=O)OC(C)(C)OC1=O.CC1(C)OC(=O)C(C)(c2cc(O)c(O)cc2C#N)C(=O)O1,N#CC1=CC(=O)C(=O)C=C1>>CC1C(=O)OC(C)(C)OC1=O.CC1(C)OC(=O)C(C)(c2cc(O)c(O)cc2C#N)C(=O)O1,27925360,1,56,full reaction,"3,4-dioxocyclohexa-1,5-diene-1-carbonitrile|2,2,5-trimethyl-1,3-dioxane-4,6-dione",C14H13NO6,292334,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1(C)OC(=O)CC(=O)O1,CCOC(=O)C1=CC(=O)C(=O)C=C1.CCOC(=O)c1cc(O)c(O)cc1C1=C(O)OC(C)(C)OC1=O,CC1(C)OC(=O)CC(=O)O1>>CCOC(=O)C1=CC(=O)C(=O)C=C1.CCOC(=O)c1cc(O)c(O)cc1C1=C(O)OC(C)(C)OC1=O,27925361,1,56,full reaction,"cycl-isopropylidene malonate|ethyl 3,4-dioxocyclohexa-1,5-diene-1-carboxylate",C15H16O8,162984,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1C(=O)OC(C)(C)OC1=O,CCOC(=O)C1=CC(=O)C(=O)C=C1.CCOC(=O)c1cc(O)c(O)cc1C1(C)C(=O)OC(C)(C)OC1=O,CC1C(=O)OC(C)(C)OC1=O>>CCOC(=O)C1=CC(=O)C(=O)C=C1.CCOC(=O)c1cc(O)c(O)cc1C1(C)C(=O)OC(C)(C)OC1=O,27925362,1,56,full reaction,"2,2,5-trimethyl-1,3-dioxane-4,6-dione|ethyl 3,4-dioxocyclohexa-1,5-diene-1-carboxylate",C16H18O8,292334,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1(C)OC(=O)CC(=O)O1,CC1=CC(=O)C(=O)C=C1.Cc1cc(O)c(O)cc1C1=C(O)OC(C)(C)OC1=O,CC1(C)OC(=O)CC(=O)O1>>CC1=CC(=O)C(=O)C=C1.Cc1cc(O)c(O)cc1C1=C(O)OC(C)(C)OC1=O,27925366,1,56,full reaction,"cycl-isopropylidene malonate|4-methylbenzo-1,2-quinone",C13H14O6,162984,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1(C)OC(=O)CC(=O)O1,CC(C)(C)C1=CC(=O)C(=O)C=C1.CC1(C)OC(=O)C(c2cc(O)c(O)cc2C(C)(C)C)=C(O)O1,CC1(C)OC(=O)CC(=O)O1>>CC(C)(C)C1=CC(=O)C(=O)C=C1.CC1(C)OC(=O)C(c2cc(O)c(O)cc2C(C)(C)C)=C(O)O1,27925367,1,56,full reaction,"cycl-isopropylidene malonate|4-t-butyl-1,2-benzoquinone",C16H20O6,162984,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1(C)OC(=O)CC(=O)O1,O=C(O)C1=CC(=O)C(=O)C=C1.CC1(C)OC(=O)C(c2cc(O)c(O)cc2C(=O)O)=C(O)O1,CC1(C)OC(=O)CC(=O)O1>>O=C(O)C1=CC(=O)C(=O)C=C1.CC1(C)OC(=O)C(c2cc(O)c(O)cc2C(=O)O)=C(O)O1,27925368,1,56,full reaction,"cycl-isopropylidene malonate|3,4-dioxocyclohexa-1,5-diene-1-carboxylic acid",C13H12O8,162984,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1C(=O)OC(C)(C)OC1=O,CC1=CC=CC(=O)C1=O.Cc1cc(C2(C)C(=O)OC(C)(C)OC2=O)cc(O)c1O,CC1C(=O)OC(C)(C)OC1=O>>CC1=CC=CC(=O)C1=O.Cc1cc(C2(C)C(=O)OC(C)(C)OC2=O)cc(O)c1O,27925371,1,56,full reaction,"2,2,5-trimethyl-1,3-dioxane-4,6-dione|6-methyl-1,2-benzoquinone",C14H16O6,291990,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
CC1C(=O)OC(C)(C)OC1=O,COC1=CC=CC(=O)C1=O.COc1cc(C2(C)C(=O)OC(C)(C)OC2=O)cc(O)c1O,CC1C(=O)OC(C)(C)OC1=O>>COC1=CC=CC(=O)C1=O.COc1cc(C2(C)C(=O)OC(C)(C)OC2=O)cc(O)c1O,27925372,1,56,full reaction,"2,2,5-trimethyl-1,3-dioxane-4,6-dione|3-methoxy-[1,2]benzoquinone",C14H16O7,291990,Chemical behaviour,1,25,Michael addition,Kinetics,phosphate buffer,8651409; Article; Nematollahi; Shayani-jam; Journal of Organic Chemistry; vol. 73; 9; (2008); p. 3428 - 3434;,Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,7.0,,,,,,,,,,,,,,,
