Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:RGT:AMD,RXN:VAR:CAT:AMD,RXN:RCT:AMD,RXN:PRO:AMD
CN(C)c1ccc(C=O)cc1,Cl[Mg]CCc1ccccc1.CN(C)c1ccc(C(O)CCc2ccccc2)cc1,CN(C)c1ccc(C=O)cc1>>Cl[Mg]CCc1ccccc1.CN(C)c1ccc(C(O)CCc2ccccc2)cc1,"['100-10-7', '90878-19-6']",101581-84-4,31-320-CAS-23118721,1,2,100,12125-02-9,"['109-99-9', '7732-18-5']",Grignard reaction,Asymmetric transfer hydrogenation of unsaturated ketones; factors,"Hall, Thomas H.; Adams, Hannah; Vyas, Vijyesh K.; Michael Chu, K. L.;","Tetrahedron (2021), 77131771",,,,,,
C=CB1OB(C=C)OB(C=C)O1,COc1ccc2ccc(F)c(Br)c2n1.C=Cc1c(F)ccc2ccc(OC)nc12,C=CB1OB(C=C)OB(C=C)O1>>COc1ccc2ccc(F)c(Br)c2n1.C=Cc1c(F)ccc2ccc(OC)nc12,"['92988-08-4', '1001322-87-7']",1442465-51-1,31-177-CAS-725839,1,1,100,584-08-7,"['110-71-4', '7732-18-5']",Suzuki coupling,Preparation of octahydropyridooxazinone derivatives for use as,"Hubschwerlen, Christian; Rueedi, Georg; Surivet, Jean-Philippe; Zumbrunn","World Intellectual Property Organization, WO2013080156 A1 2013-06-06",14221-01-3,F. i. 7-fluoro-2-methoxy-8-vinylquinoline: A solution of,,,,
O=[N+]([O-])c1ccc(Br)cc1Nc1ccccc1,OB(O)c1cccc2c1oc1ccccc12.O=[N+]([O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1Nc1ccccc1,O=[N+]([O-])c1ccc(Br)cc1Nc1ccccc1>>OB(O)c1cccc2c1oc1ccccc12.O=[N+]([O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1Nc1ccccc1,"['6311-47-3', '100124-06-9']",1650580-46-3,31-179-CAS-6653380,1,2,100,1310-73-2,"['123-91-1', '7732-18-5']",Suzuki coupling,Luminescent diaza- monoaza- and benzimidazole metal carbene complexes for,"Battagliarin, Glauco; Benedito, Flavio Luiz; Metz, Stefan; Dormann,","World Intellectual Property Organization, WO2015014944 A1 2015-02-05",53199-31-8,,,,,
CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,COc1ccc(C(=O)Cl)cc1.Cc1ccc(CN)cc1.COc1ccc(C(=O)N2CCC(C(=O)NCc3ccc(C)cc3)CC2)cc1,CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1>>COc1ccc(C(=O)Cl)cc1.Cc1ccc(CN)cc1.COc1ccc(C(=O)N2CCC(C(=O)NCc3ccc(C)cc3)CC2)cc1,"['84358-13-4', '100-07-2', '104-84-7']",433706-16-2,31-363-CAS-5989681,1,5,100,"['693-13-0', '142623-70-9', '76-05-1', '144-55-8', '121-44-8']","['68-12-2', '7732-18-5', '109-99-9']","Steglich esterification (stage 1), incremental addition of",A method for preparing new fluorous tagging and scavenging reactants and,"Zhang, Wei; Luo, Zhiyong; Nagashima, Tadamichi; Chen, Christine Hiu-Tung;","World Intellectual Property Organization, WO2004007407 A2 2004-01-22",1122-58-3,,,,,
CC(C)(C)OC(=O)N1C(=O)CC(=O)C2CCCC21,CC(C)(C)OC(=O)N1C(=O)C(Br)C(=O)C2CCCC21,CC(C)(C)OC(=O)N1C(=O)CC(=O)C2CCCC21>>CC(C)(C)OC(=O)N1C(=O)C(Br)C(=O)C2CCCC21,1000800-90-7,1000800-91-8,31-119-CAS-15318713,1,1,100,,109-99-9,"solid-supported reagent, polymer supported tribromide used",Fused thiazole derivatives as PI3 kinase inhibitors and their,"Alexander, Rikki Peter; Aujla, Pavandeep Singh; Crepy, Karen Viviane","World Intellectual Property Organization, WO2008001076 A1 2008-01-03",,tert-Butyl,,,,
COC(=O)C[C@@H]1COc2cc(O)ccc21,Cc1cc(OCc2ccccc2)c2c(c1-c1cccc(CO)c1)CC2.COC(=O)C[C@@H]1COc2cc(OCc3cccc(-c4c(C)cc(OCc5ccccc5)c5c4CC5)c3)ccc21,COC(=O)C[C@@H]1COc2cc(O)ccc21>>Cc1cc(OCc2ccccc2)c2c(c1-c1cccc(CO)c1)CC2.COC(=O)C[C@@H]1COc2cc(OCc3cccc(-c4c(C)cc(OCc5ccccc5)c5c4CC5)c3)ccc21,"['1000414-38-9', '1644040-32-3']",1644040-78-7,31-012-CAS-18626740,1,1,100,"['998-40-3', '10465-81-3']",75-09-2,Mitsunobu reaction,"Benzocyclobutene derivative, preparation method and pharmaceutical","Zhang, Chen; Wang, Jianmin; Huang, Anbang; Lei, Ming; He, Ping; Xu,","World Intellectual Property Organization, WO2015000412 A1 2015-01-08",,,,,,
O=[N+]([O-])c1ccc(CBr)cc1,NC1CCCC1.O=[N+]([O-])c1ccc(CN(Cc2ccc([N+](=O)[O-])cc2)C2CCCC2)cc1,O=[N+]([O-])c1ccc(CBr)cc1>>NC1CCCC1.O=[N+]([O-])c1ccc(CN(Cc2ccc([N+](=O)[O-])cc2)C2CCCC2)cc1,"['100-11-8', '1003-03-8']",1252601-24-3,31-031-CAS-6848648,1,1,100,584-08-7,68-12-2,incremental addition of 1-(bromomethyl)-4-nitrobenzene (reactant),"Preparation of 4,4'-(phenylazanediyl)bisbenzyls and analogs end capped","DeGoey, David A.; Hutchins, Charles W.; Kati, Warren M.; Donner, Pamela","World Intellectual Property Organization, WO2010120935 A1 2010-10-21",,"N,N-bis(4-nitrobenzyl)cyclopentanamine To a solution of cyclopentylamine",,,,
c1cc2c(cc1CN1CCNCC1)OCO2,O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,c1cc2c(cc1CN1CCNCC1)OCO2>>O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,"['32231-06-4', '1000811-12-0']",1000810-21-8,31-368-CAS-11831192,1,2,100,"['100-52-7', '505097-38-1']","['67-56-1', '107-06-2']","combinatorial, solid-supported reagent, PS-NCO resin and PS-benzaldehyde",Solution-Phase Parallel Synthesis of Carbamates as γ-Secretase Inhibitors,"Vaccaro, Henry A.; Zhao, Zhiqiang; Clader, John W.; Song, Lixin;","Journal of Combinatorial Chemistry (2008), 10(1), 56-62",,General/Typical Procedure: Synthesis of Library 3. Set-up of Reactions.:,polystyrene supported,,,
O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)CC(N)=O)[C@@H](C)OC=O)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O.[H][C@@]1([C@H](O)[C@H](O)CO)O[C@@](OC[C@H]2O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]4[C@@H](OC[C@H]5O[C@@H](O[C@H]6[C@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]7[C@H](O)[C@@H](NC(C)=O)[C@H](NC(=O)C[C@H](NC(=O)CN)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc8ccc(O)cc8)C(=O)O)[C@@H](C)CC)[C@@H](C)O)O[C@@H]7CO)O[C@@H]6CO)[C@@H](O)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO[C@]8(C(=O)OCc9ccccc9)C[C@H](O)[C@@H](NC(C)=O)[C@]([H])([C@H](O)[C@H](O)CO)O8)[C@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@@H]5O)O[C@H](CO)[C@@H](O)[C@@H]4O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@H]2O)(C(=O)OCc2ccccc2)C[C@H](O)[C@H]1NC(C)=O,O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21>>CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)CC(N)=O)[C@@H](C)OC=O)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O.[H][C@@]1([C@H](O)[C@H](O)CO)O[C@@](OC[C@H]2O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]4[C@@H](OC[C@H]5O[C@@H](O[C@H]6[C@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]7[C@H](O)[C@@H](NC(C)=O)[C@H](NC(=O)C[C@H](NC(=O)CN)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc8ccc(O)cc8)C(=O)O)[C@@H](C)CC)[C@@H](C)O)O[C@@H]7CO)O[C@@H]6CO)[C@@H](O)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO[C@]8(C(=O)OCc9ccccc9)C[C@H](O)[C@@H](NC(C)=O)[C@]([H])([C@H](O)[C@H](O)CO)O8)[C@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@@H]5O)O[C@H](CO)[C@@H](O)[C@@H]4O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@H]2O)(C(=O)OCc2ccccc2)C[C@H](O)[C@H]1NC(C)=O,"['29022-11-5', '1000616-29-4']",929098-91-9,31-614-CAS-25703129,1,3,100,"['693-13-0', '2592-95-2', '110-89-4', '76-05-1', '7732-18-5']",68-12-2,"solid-supported reaction, alternative reaction conditions shown, product",An approach for a synthesis of asparagine-linked sialylglycopeptides,"Yamamoto, Naoki; Takayanagi, Ayumi; Yoshino, Ayako; Sakakibara, Tohru;","Chemistry - A European Journal (2007), 13(2), 613-625",,,,,,
N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,O=C(N[C@@H](Cc1ccc(I)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.OB(O)c1cccc2c1oc1ccccc12.CC(C)(C)OC(=O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)(C)OC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.CC(C)(C)OC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)C(=O)O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(-c2cccc3c2oc2ccccc23)cc1)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(N)=O)[C@@H](C)O)[C@@H](C)O,N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O>>O=C(N[C@@H](Cc1ccc(I)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.OB(O)c1cccc2c1oc1ccccc12.CC(C)(C)OC(=O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)(C)OC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.CC(C)(C)OC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)C(=O)O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(-c2cccc3c2oc2ccccc23)cc1)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(N)=O)[C@@H](C)O)[C@@H](C)O,"['155760-02-4', '82565-68-2', '100124-06-9', '71989-14-5', '71989-33-8', '71989-35-0', '35661-40-6', '29022-11-5', '71989-18-9', '35661-39-3', '109425-51-6']",1380579-73-6,31-049-CAS-18321372,1,13,100,"['693-13-0', '39968-33-7', '7087-68-5', '56602-33-6', '108-48-5', '27607-77-8', '76-05-1', '6485-79-6']","['872-50-4', '68-12-2', '75-09-2', '7732-18-5']","solid-supported reaction, peptide synthesizer used, capping with acetic",Preparation of human glucagon-like-peptide-1 mimics and their use in the,"Natarajan, Sesha I.; Bastos, Margarita M.; Bernatowicz, Michael S.;","World Intellectual Property Organization, WO2003033671 A2 2003-04-24",14221-01-3,,,,,
COc1ccc(C(=O)Cl)cc1,CN1CCC(N2CCN(C(=O)[C@H](N)C3CC3)CC2)CC1.Cl.COc1ccc(C(=O)N[C@@H](C(=O)N2CCN(C3CCN(C)CC3)CC2)C2CC2)cc1,COc1ccc(C(=O)Cl)cc1>>CN1CCC(N2CCN(C(=O)[C@H](N)C3CC3)CC2)CC1.Cl.COc1ccc(C(=O)N[C@@H](C(=O)N2CCN(C3CCN(C)CC3)CC2)C2CC2)cc1,"['100-07-2', '609768-51-6']",609768-52-7,31-365-CAS-14818158,1,2,100,"['121-44-8', '144-55-8']","['75-09-2', '7732-18-5']",product further converted into (Hydrochloride and fumarate) salt,Synthesis of 1-(D-cyclopropylglycinyl)-4-(piperidin-4-yl)piperazine,"Wiley, Michael Robert; Engel, Gary Lowell","World Intellectual Property Organization, WO2003084929 A1 2003-10-16",,,,,,
C#Cc1cc(OC)cc(OC)c1,O=S(=O)(c1ccccc1)n1ccc2cc(Br)cnc21.COc1cc(C#Cc2cnc3c(ccn3S(=O)(=O)c3ccccc3)c2)cc(OC)c1,C#Cc1cc(OC)cc(OC)c1>>O=S(=O)(c1ccccc1)n1ccc2cc(Br)cnc21.COc1cc(C#Cc2cnc3c(ccn3S(=O)(=O)c3ccccc3)c2)cc(OC)c1,"['171290-52-1', '1001070-33-2']",1809861-12-8,31-180-CAS-9775033,1,1,100,7087-68-5,75-05-8,reaction in a sealed tube,"Preparation of pyrrolo[2,3-b]pyrazine and pyrrolo[2,3-b]pyridine","Mills, Matthew; McCarthy, Clive","European Patent Organization, EP2924038 A1 2015-09-30","['7681-65-4', '14221-01-3']",,,,,
