Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:PRO:AMD,RXN:VAR:CAT:AMD,RXN:VAR:SOL:AMD,RXN:RCT:AMD,RXN:VAR:RGT:AMD
CCOC(=O)c1ccc(Oc2cc(OCc3ccccc3)c(OC)cc2Br)c(-c2ccc(OCc3ccccc3)cc2)c1,CCOC(=O)c1cc(-c2ccc(OCc3ccccc3)cc2)c2oc3cc(OCc4ccccc4)c(OC)cc3c2c1,CCOC(=O)c1ccc(Oc2cc(OCc3ccccc3)c(OC)cc2Br)c(-c2ccc(OCc3ccccc3)cc2)c1>>CCOC(=O)c1cc(-c2ccc(OCc3ccccc3)cc2)c2oc3cc(OCc4ccccc4)c(OC)cc3c2c1,1001922-81-1,1001922-82-2,31-218-CAS-14770559,1,2,100,"['584-08-7', '7732-18-5']",68-12-2,"microwave irradiation, power o f 300 W",Synthesis of dictyomedins using phosphazene base catalyzed diaryl ether,"Ebisawa, Masaru; Ueno, Masahiro; Oshima, Yoshiteru; Kondo, Yoshinori","Tetrahedron Letters (2007), 48(50), 8918-8921","['2622-14-2', '3375-31-3']",,,,,,
O=C=Nc1ccc([N+](=O)[O-])cc1,CN1CCC(C#N)(Nc2ccccc2)CC1.CN1CCC2(CC1)C(=O)N(c1ccc([N+](=O)[O-])cc1)C(=O)N2c1ccccc1,O=C=Nc1ccc([N+](=O)[O-])cc1>>CN1CCC(C#N)(Nc2ccccc2)CC1.CN1CCC2(CC1)C(=O)N(c1ccc([N+](=O)[O-])cc1)C(=O)N2c1ccccc1,"['100-28-7', '137128-24-6']",844436-35-7,31-316-CAS-3058057,1,2,100,7647-01-0,"['107-06-2', '7732-18-5']","combinatorial, QUEST 210 synthesizer used, parallel synthesis",Solution-Phase Parallel Synthesis of Spirohydantoins,"Nieto, Marcelo J.; Philip, Ashok E.; Poupaert, Jacques H.; McCurdy,","Journal of Combinatorial Chemistry (2005), 7(2), 258-263",,General/Typical Procedure: General Procedure for the Acylation with,,,,,
Brc1cccs1,CC1=CC=CC(C)=N1[Au+3]([Cl-])([Cl-])[C-]1=CC=CC=C1.Brc1ccc(-c2ccccc2)s1,Brc1cccs1>>CC1=CC=CC(C)=N1[Au+3]([Cl-])([Cl-])[C-]1=CC=CC=C1.Brc1ccc(-c2ccccc2)s1,"['1003-09-4', '380650-18-0']",29488-24-2,31-614-CAS-26333945,1,1,100,2923-28-6,865-49-6,"chemoselective, in the dark, regioselective, ultrasound,",Gold-Catalyzed Oxidative Coupling of Arylsilanes and Arenes: Origin of,"Ball, Liam T.; Lloyd-Jones, Guy C.; Russell, Christopher A.","Journal of the American Chemical Society (2014), 136(1), 254-264",,"Stoichiometric reaction of trans-AuPhCl2(lut.) Silver triflate (7.8 mg,",,,,,
COC(=O)c1cc(C)c(C(=O)OC)c([N+](=O)[O-])c1C,COC(=O)c1c(C)cc(C(=O)O)c(C)c1[N+](=O)[O-],COC(=O)c1cc(C)c(C(=O)OC)c([N+](=O)[O-])c1C>>COC(=O)c1c(C)cc(C(=O)O)c(C)c1[N+](=O)[O-],100193-38-2,1149388-25-9,31-352-CAS-8158050,1,2,100,"['1310-73-2', '7647-01-0']","['123-91-1', '7732-18-5']","regioselective, incremental addition of NaOH in stage 1",Synthesis of tropane derivatives for pharmaceutical use,"Rice, Kenneth D.; Aay, Naing; Anand, Neel Kumar; Arcalas, Arlyn; Baik,","World Intellectual Property Organization, WO2009055077 A1 2009-04-30",,"STEP 3: Dimethyl 2,5-dimethyl-3-nitroterephthalate (2.27 g, 8.50 mmol)",,,,,
O=C([O-][Ca+2]([OH2])([OH2])([OH2])([O-]C(=O)c1ccc([N+](=O)[O-])cc1)N1=CNC=C1)c1ccc([N+](=O)[O-])cc1.c1c[nH]cn1,O=C(O)c1ccc([N+](=O)[O-])cc1,O=C([O-][Ca+2]([OH2])([OH2])([OH2])([O-]C(=O)c1ccc([N+](=O)[O-])cc1)N1=CNC=C1)c1ccc([N+](=O)[O-])cc1.c1c[nH]cn1>>O=C(O)c1ccc([N+](=O)[O-])cc1,1001651-59-7,62-23-7,31-614-CAS-30689217,1,1,100,7647-01-0,7732-18-5,alternative preparation shown,"Synthesis, spectroscopy, thermal studies and supramolecular structures of","Srinivasan, Bikshandarkoil R.; Sawant, Jyoti V.; Raghavaiah, Pallepogu","Journal of Chemical Sciences (Bangalore, India) (2007), 119(1), 11-20",,The reaction of 1 or 2 with dilute HCl leads to the decomposition of the,,,,,
CC(=O)OC(C)=O,[H][C@@]12O[C@H](CO)[C@@]([H])(O[C@@]3([H])O[C@H](CO)[C@@]([H])(O[C@@]4([H])O[C@H](CO)[C@@]([H])(O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]6([H])O[C@H](CO)[C@@]([H])(O[C@@]7([H])O[C@H](CO)[C@@]([H])(O1)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O.CC(=O)OC[C@H]1O[C@H](O[C@H]2[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]3[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]4[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]5[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]6[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)O[C@@H]6COC(C)=O)O[C@@H]5COC(C)=O)O[C@@H]4COC(C)=O)O[C@@H]3COC(C)=O)O[C@@H]2COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,CC(=O)OC(C)=O>>[H][C@@]12O[C@H](CO)[C@@]([H])(O[C@@]3([H])O[C@H](CO)[C@@]([H])(O[C@@]4([H])O[C@H](CO)[C@@]([H])(O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]6([H])O[C@H](CO)[C@@]([H])(O[C@@]7([H])O[C@H](CO)[C@@]([H])(O1)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O.CC(=O)OC[C@H]1O[C@H](O[C@H]2[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]3[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]4[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]5[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](O[C@H]6[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)O[C@@H]6COC(C)=O)O[C@@H]5COC(C)=O)O[C@@H]4COC(C)=O)O[C@@H]3COC(C)=O)O[C@@H]2COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,"['108-24-7', '10016-20-3']",127309-04-0,31-018-CAS-9720382,1,3,100,"['7601-90-3', '144-55-8']","['108-24-7', '7732-18-5']",exothermic in stage 1,Glycodynamers: Dynamic Polymers Bearing Oligosaccharides Residues -,"Ruff, Yves; Buhler, Eric; Candau, Sauveur-Jean; Kesselman, Ellina;","Journal of the American Chemical Society (2010), 132(8), 2573-2584",7553-56-2,This molecule was prepared in 4 steps according to published,,,,,
c1ccncc1,COc1cc(C)c(N2CCN(c3c(C)cc(OC)cc3C)[C-2]2=[Ru+6]([Cl-])([Cl-])(=[CH-2]c2ccccc2)[P](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1.COc1cc(C)c(N2CCN(c3c(C)cc(OC)cc3C)[C-2]2=[Ru+6]([Cl-])([Cl-])(=[CH-2]c2ccccc2)(N2=CC=CC=C2)N2=CC=CC=C2)c(C)c1,c1ccncc1>>COc1cc(C)c(N2CCN(c3c(C)cc(OC)cc3C)[C-2]2=[Ru+6]([Cl-])([Cl-])(=[CH-2]c2ccccc2)[P](C2CCCCC2)(C2CCCCC2)C2CCCCC2)c(C)c1.COc1cc(C)c(N2CCN(c3c(C)cc(OC)cc3C)[C-2]2=[Ru+6]([Cl-])([Cl-])(=[CH-2]c2ccccc2)(N2=CC=CC=C2)N2=CC=CC=C2)c(C)c1,"['110-86-1', '1002718-36-6']",2460458-90-4,31-562-CAS-22417474,1,1,100,,108-88-3,glovebox used,Compositions and methods for visible-light-controlled ruthenium-catalyzed,"Rovis, Tomislav; Theunissen, Cedric","United States, US20200108381 A1 2020-04-09",,,,,,,
C=C(C)C(=O)OCCOC(=O)C(C)Br.C=CC(=O)OC(C)(C)C.C=Cc1ccccc1,C=C(C)C(=O)OCCOC(=O)C(C)Br.C=CC(=O)OC(C)(C)C.C=Cc1ccccc1,C=C(C)C(=O)OCCOC(=O)C(C)Br.C=CC(=O)OC(C)(C)C.C=Cc1ccccc1>>C=C(C)C(=O)OCCOC(=O)C(C)Br.C=CC(=O)OC(C)(C)C.C=Cc1ccccc1,1001644-87-6,1001644-87-6,31-614-CAS-25297090,1,1,100,76-05-1,75-09-2,hydrolyzed product formed,A novel route for the preparation of discrete nanostructured carbons from,"Huang, Jinyu; Tang, Chuanbing; Lee, Hyungil; Kowalewski, Tomasz;","Macromolecular Chemistry and Physics (2007), 208(21), 2312-2320",,,hydrolyzed,,,,
c1ccncc1,CC#N[Ru+2]123(N4=CC=CC=C4C4=CC(c5cccc(-c6ccc(OC)cc6)c5)=CC(=N41)C1=CC=CC=N12)N1=CC(c2ccc(OC)cc2)=Cc2ccc4c(c21)N3=C(c1c(C)cc(C)cc1C)C=C4.[F-][P+5]([F-])([F-])([F-])([F-])[F-].COc1ccc(C2=Cc3ccc4c5c3N(=C2)[Ru+2]23(N6=CC=CC=C6)(N6=CC=CC=C6C6=CC(c7cccc(-c8ccc(OC)cc8)c7)=CC(=N62)C2=CC=CC=N23)N5=C(c2c(C)cc(C)cc2C)C=C4)cc1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],c1ccncc1>>CC#N[Ru+2]123(N4=CC=CC=C4C4=CC(c5cccc(-c6ccc(OC)cc6)c5)=CC(=N41)C1=CC=CC=N12)N1=CC(c2ccc(OC)cc2)=Cc2ccc4c(c21)N3=C(c1c(C)cc(C)cc1C)C=C4.[F-][P+5]([F-])([F-])([F-])([F-])[F-].COc1ccc(C2=Cc3ccc4c5c3N(=C2)[Ru+2]23(N6=CC=CC=C6)(N6=CC=CC=C6C6=CC(c7cccc(-c8ccc(OC)cc8)c7)=CC(=N62)C2=CC=CC=N23)N5=C(c2c(C)cc(C)cc2C)C=C4)cc1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],"['110-86-1', '1002760-88-4']",1002760-91-9,31-562-CAS-14355085,1,2,100,17084-13-8,"['110-86-1', '7732-18-5']","stereoselective, alternative preparation shown",Light-Induced Geometrical Changes in Acyclic Ruthenium(II) Complexes and,"Bonnet, Sylvestre; Collin, Jean-Paul; Sauvage, Jean-Pierre","Inorganic Chemistry (2007), 46(25), 10520-10533",,10photo 2+. Thermal Preparation. A 64 mg (51 μmol) amount of [9photo,,,,,
O=C(O)c1ccc(C(=O)O)nc1,O=C([O-])C1=CC=C2C(=O)[O-][Pb+2]([OH2])N2=C1,O=C(O)c1ccc(C(=O)O)nc1>>O=C([O-])C1=CC=C2C(=O)[O-][Pb+2]([OH2])N2=C1,100-26-5,1256374-71-6,31-562-CAS-6724190,1,1,100,10099-74-8,7732-18-5,"thermal, hydrothermal, Teflon-lined bomb used",Novel Bismuth and Lead Coordination Polymers Synthesized with,"Wibowo, Arief C.; Vaughn, Shae A.; Smith, Mark D.; zur Loye, Hans-Conrad","Inorganic Chemistry (2010), 49(23), 11001-11008",,"Synthesis of Pb(pydc)(H2O) (2). A mixture of Pb(NO3)2 (0.165 g, 0.50mmol)",,,,,
COc1cc(C=O)ccc1O,CCCCCCCCCCCCCCOC(=O)CC(=O)O.CCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1,COc1cc(C=O)ccc1O>>CCCCCCCCCCCCCCOC(=O)CC(=O)O.CCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1,"['121-33-5', '1002-30-8']",169694-26-2,31-333-CAS-6108306,1,2,100,"['110-86-1', '7647-01-0']","['110-86-1', '7732-18-5']","stereoselective, Verley-Doebner modification of Knoevenagel condensation",Synthesis and antioxidant activity of long chain alkyl hydroxycinnamates,"Menezes, Jose C. J. M. D. S.; Kamat, Shrivallabh P.; Cavaleiro, Jose A.","European Journal of Medicinal Chemistry (2011), 46(2), 773-777",107-95-9,,,,,,
CC(C)(C)OC(=O)CN(CCOCCOCCOCCN=[N+]=[N-])C(=O)COC[C@H](CNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN(CCOCCOCCOCCN)C(=O)COC[C@H](CNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN(CCOCCOCCOCCN=[N+]=[N-])C(=O)COC[C@H](CNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)CN(CCOCCOCCOCCN)C(=O)COC[C@H](CNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,1002099-05-9,1002099-06-0,31-527-CAS-7075198,1,1,100,1333-74-0,"['67-56-1', '141-78-6']",Lindlar's catalyst used,A template-directed synthetic approach to halogen-bridged mixed-valence,"Tanaka, Kentaro; Kaneko, Kenji; Watanabe, Yusuke; Shionoya, Mitsuhiko","Dalton Transactions (2007), (46), 5369-5371",7440-05-3,,,,,,
O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1cccc(C(=O)Oc2ccc(C3(c4ccc(OC(=O)c5cccc(N)c5)cc4)CCCC3)cc2)c1.*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(NC(=O)c5ccc(C(=O)Nc6cccc(C(*)=O)c6)cc5)c4)cc3)CCCC2)cc1,O=C(Cl)c1ccc(C(=O)Cl)cc1>>Nc1cccc(C(=O)Oc2ccc(C3(c4ccc(OC(=O)c5cccc(N)c5)cc4)CCCC3)cc2)c1.*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(NC(=O)c5ccc(C(=O)Nc6cccc(C(*)=O)c6)cc5)c4)cc3)CCCC2)cc1,"['100-20-9', '2607809-28-7']",2607809-32-3,31-614-CAS-29424192,1,2,100,554-13-2,127-19-5,yield depends on stoichiometry of reactants,Synthesis and characterization of processable heat resistant,"Ankushrao, S. S.; Kadam, V. N.; Patil, Y. S.; Ubale, V. P.; Maldar, N.","Journal of Macromolecular Science, Part A: Pure and Applied Chemistry",,,,,,,
Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOC/C=C\COCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOCCCCOCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOC/C=C\COCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCOCCOCCOCCCCOCCOCCOCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],1002761-00-3,1002761-74-1,31-242-CAS-4891894,1,1,100,1333-74-0,"['64-17-5', '75-09-2']","in the dark, alternative preparation shown",Light-Induced Geometrical Changes in Acyclic Ruthenium(II) Complexes and,"Bonnet, Sylvestre; Collin, Jean-Paul; Sauvage, Jean-Pierre","Inorganic Chemistry (2007), 46(25), 10520-10533",7440-05-3,General/Typical Procedure: 18th 2+. A 8 mg (5 μmol) amount of [16th,,,,,
NC1CCCC1,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC[C@H]4CO4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC[C@H](O)CNC4CCCC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,NC1CCCC1>>OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC[C@H]4CO4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC[C@H](O)CNC4CCCC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,"['1003-03-8', '1244501-53-8']",1244500-86-4,31-035-CAS-3412716,1,1,100,,64-17-5,"regioselective, sealed tube used",Preparation of C-arylglucoside derivatives as sodium dependent glucose,"Deng, Bingchu; Yang, Fanglong; Shen, Guangyuan; Wang, Yang; Yang, Tao;","China, CN101812043 A 2010-08-25",,,,,,,
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(C)=O)OC(=O)C(Cl)(Cl)Cl,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COC(C)=O,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(C)=O)OC(=O)C(Cl)(Cl)Cl>>CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COC(C)=O,1001440-65-8,1001440-70-5,31-352-CAS-10701995,1,1,100,"['67-56-1', '110-86-1']",109-99-9,scalable,O-Silylated C3-halohydrins as a novel class of protected building blocks,"Stamatov, Stephan D.; Stawinski, Jacek","Organic & Biomolecular Chemistry (2010), 8(2), 463-477",,,,,,,
COC[C@H](C)Oc1cccc(C(=O)OC)c1,COC[C@H](C)Oc1cccc(C(=O)O)c1,COC[C@H](C)Oc1cccc(C(=O)OC)c1>>COC[C@H](C)Oc1cccc(C(=O)O)c1,1001420-57-0,1001420-58-1,31-352-CAS-8430045,1,2,100,"['1310-65-2', '7647-01-0']","['109-99-9', '7732-18-5']",incremental addition of LiOH in stage 1,Novel N-heterocyclic phosphonates and phosphinates as glucokinase,"Ryono, Dennis E.; Cheng, Peter T. W.; Bolton, Scott A.; Chen, Sean S.;","World Intellectual Property Organization, WO2008005964 A2 2008-01-10",,To a solution of Part A compound (0.219 g; 0.975 mmol) in THF (3.75 mL),,,,,
