Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:CAT:AMD,RXN:PRO:AMD,RXN:VAR:RGT:AMD
C=CC(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,C=CC(=O)OC>>COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,"['96-33-3', '81167-39-7']",221036-08-4,31-254-CAS-6468864,1,3,100,12125-02-9,"['109-99-9', '7732-18-5']",General/Typical Procedure: Typical experimental procedure for catalytic,"stereoselective, mol. sieves used","Development of Catalytic Asymmetric 1,4-Addition and [3 + 2]","Tsubogo, Tetsu; Saito, Susumu; Seki, Kazutaka; Yamashita, Yasuhiro;","Journal of the American Chemical Society (2008), 130(40), 13321-13332","['15571-51-4', '132098-59-0']",,,
C=CC(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,C=CC(=O)OC>>COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,"['96-33-3', '81167-39-7']",221036-08-4,31-254-CAS-3498998,1,3,100,12125-02-9,"['109-99-9', '7732-18-5']","Typical experimental procedure for catalytic asymmetric 1,4-addition","stereoselective, molecular sieves used",Chiral Calcium Complexes as Bronsted Base Catalysts for Asymmetric,"Saito, Susumu; Tsubogo, Tetsu; Kobayashi, Shu","Journal of the American Chemical Society (2007), 129(17), 5364-5365","['15571-51-4', '132098-59-0']",,,
C=CC(C)=O,COC(=O)C1CCC(C)(C)C1=O.COC(=O)C1(CCC(C)=O)CCC(C)(C)C1=O,C=CC(C)=O>>COC(=O)C1CCC(C)(C)C1=O.COC(=O)C1(CCC(C)=O)CCC(C)(C)C1=O,"['78-94-4', '80969-68-2']",1779572-34-7,31-254-CAS-16637171,1,1,100,121-44-8,,,aldol condensation,Preparation of acetylenic cyanoenones as therapeutics for inflammation,"Dinkova-Kostova, Albena; Honda, Tadashi; Li, Wei; Zheng, Suqing","World Intellectual Property Organization, WO2016168450 A1 2016-10-20",,,,
C=CC(C)=O,COC(=O)C1CCC(C)(C)C1=O.COC(=O)C1(CCC(C)=O)CCC(C)(C)C1=O,C=CC(C)=O>>COC(=O)C1CCC(C)(C)C1=O.COC(=O)C1(CCC(C)=O)CCC(C)(C)C1=O,"['78-94-4', '80969-68-2']",1779572-34-7,31-254-CAS-14766965,1,1,100,121-44-8,,,Michael addition,"New Monocyclic, Bicyclic, and Tricyclic Ethynylcyanodienones as","Li, Wei; Zheng, Suqing; Higgins, Maureen; Morra, Rocco P.; Mendis, Anne","Journal of Medicinal Chemistry (2015), 58(11), 4738-4748",,,,
COc1cc(OC)c2c(OC)c3c(c(OC)c2c1)CCCC3=O,COc1cc(OC)c2c(c1)C(=O)C1=C(C(=O)CCC1)C2=O.[H][C@]1([C@@]23CCCC(O)=C2C(=O)c2c(OC)cc(OC)cc2C3=O)CCc2c(c(OC)c3c(OC)cc(OC)cc3c2OC)C1=O,COc1cc(OC)c2c(OC)c3c(c(OC)c2c1)CCCC3=O>>COc1cc(OC)c2c(c1)C(=O)C1=C(C(=O)CCC1)C2=O.[H][C@]1([C@@]23CCCC(O)=C2C(=O)c2c(OC)cc(OC)cc2C3=O)CCc2c(c(OC)c3c(OC)cc(OC)cc3c2OC)C1=O,"['936552-30-6', '869293-00-5']",1192030-49-1,31-254-CAS-3924133,1,3,100,"['4039-32-1', '12125-02-9']","['109-99-9', '7732-18-5']","Model Michael adduct 11. To ketone 9 2 (110 mg, 0.35 mmol, 1.0 equiv) in","regioselective, Michael reaction",Total Synthesis and Biological Evaluation of (+)- and,"Nicolaou, K. C.; Becker, Jochen; Lim, Yee Hwee; Lemire, Alexandre;","Journal of the American Chemical Society (2009), 131(41), 14812-14826",,,,
CSC(C)C(=O)OC(C)(C)C,CCCCCCCC[C@H]1C=CC(=O)O1.[H][C@@]1([C@@](C)(SC)C(=O)OC(C)(C)C)CC(=O)O[C@H]1CCCCCCCC,CSC(C)C(=O)OC(C)(C)C>>CCCCCCCC[C@H]1C=CC(=O)O1.[H][C@@]1([C@@](C)(SC)C(=O)OC(C)(C)C)CC(=O)O[C@H]1CCCCCCCC,"['70404-08-9', '93528-05-3']",70404-09-0,31-254-CAS-6515298,1,1,100,4111-54-0,109-99-9,,"Classification: Diastereoselective; ""1,4-Addition""; C-Alkylation; #",A total synthesis of racemic avenaciolide,"Herrmann, John L.; Berger, Mitchel H.; Schlessinger, R. H.","Journal of the American Chemical Society (1979), 101(6), 1544-9",,,,
C=CC(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,C=CC(=O)OC>>COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,"['96-33-3', '81167-39-7']",221036-11-9,31-254-CAS-15644333,1,1,100,,141-78-6,,"stereoselective, ee 96%, Michael addition, catalyst prepared and used",Structure-activity relationship studies of cyclopropenimines as,"Bandar, Jeffrey S.; Barthelme, Alexandre; Mazori, Alon Y.; Lambert,","Chemical Science (2015), 6(2), 1537-1547",1366421-69-3,,,
C[N+](=O)[O-],COc1ccc(/C=C/C(=O)c2nccn2C)cc1.COc1ccc(C(CC(=O)c2nccn2C)C[N+](=O)[O-])cc1,C[N+](=O)[O-]>>COc1ccc(/C=C/C(=O)c2nccn2C)cc1.COc1ccc(C(CC(=O)c2nccn2C)C[N+](=O)[O-])cc1,"['75-52-5', '869789-68-4']",1007843-90-4,31-254-CAS-359761,1,2,100,584-08-7,68-12-2,,"regioselective, Michael addition",DNA vs. Mirror Image DNA: A Universal Approach to Tune the Absolute,"Wang, Jocelyn; Benedetti, Erica; Bethge, Lucas; Vonhoff, Stefan;","Angewandte Chemie, International Edition (2013), 52(44), 11546-11549",,,,
CC(=O)CC1(C(C)(C)C)OC=C(C(C)(C)C)C1=O,CC(C)(C)C1C(=O)C2(C(C)(C)C)CC(=O)CC1O2,CC(=O)CC1(C(C)(C)C)OC=C(C(C)(C)C)C1=O>>CC(C)(C)C1C(=O)C2(C(C)(C)C)CC(=O)CC1O2,66483-14-5,935983-01-0,31-254-CAS-12974613,1,1,100,865-47-4,75-65-0,,"stereoselective, Acid, t-BuOK/t-BuOH/0 C, H+, 1,4-Addition, Alkylation,",The intramolecular Michael reaction,"Little, R. Daniel; Masjedizadeh, Mohammad R.; Wallquist, Olof;","Organic Reactions (Hoboken, NJ, United States) (1995), 47No pp. given",,,,
CCOC(=O)N1C(=O)C(=Cc2cccc(Cl)c2)c2ccc(Cl)cc21,C=C(N=Cc1cccc(Cl)c1)O[Si](C)(C)C.CCOC(=O)N1C(=O)[C@]2(c3ccc(Cl)cc31)[C@@H](c1cccc(Cl)c1)NC(=O)C[C@H]2c1cccc(Cl)c1,CCOC(=O)N1C(=O)C(=Cc2cccc(Cl)c2)c2ccc(Cl)cc21>>C=C(N=Cc1cccc(Cl)c1)O[Si](C)(C)C.CCOC(=O)N1C(=O)[C@]2(c3ccc(Cl)cc31)[C@@H](c1cccc(Cl)c1)NC(=O)C[C@H]2c1cccc(Cl)c1,"['949025-87-0', '950188-52-0']",949025-90-5,31-254-CAS-12101942,1,1,100,,108-88-3,Preparation of intermediate racemic,"stereoselective, thermal, key step, reaction in a sealed tube, aza",Preparation of spiroindolinone derivatives as antiproliferative and,"Chen, Li; Ding, Qingjie; Liu, Jin-Jun; Yang, Song; Zhang, Zhuming","United States, US20080009486 A1 2008-01-10",,,,
CC(C)(C)C1=COC(CC(=O)C2CCCC2)(C(C)(C)C)C1=O,CC(C)(C)C1C(=O)C2(C(C)(C)C)CC(=O)C3(CCCC3)C1O2,CC(C)(C)C1=COC(CC(=O)C2CCCC2)(C(C)(C)C)C1=O>>CC(C)(C)C1C(=O)C2(C(C)(C)C)CC(=O)C3(CCCC3)C1O2,80534-67-4,936639-73-5,31-254-CAS-5972553,1,1,100,865-47-4,75-65-0,,"stereoselective, Acid, t-BuOK/t-BuOH/0 C, H+, 1,4-Addition, Alkylation,",The intramolecular Michael reaction,"Little, R. Daniel; Masjedizadeh, Mohammad R.; Wallquist, Olof;","Organic Reactions (Hoboken, NJ, United States) (1995), 47No pp. given",,,,
C[N+](=O)[O-],Cn1ccnc1C(=O)/C=C/c1ccco1.Cn1ccnc1C(=O)CC(C[N+](=O)[O-])c1ccco1,C[N+](=O)[O-]>>Cn1ccnc1C(=O)/C=C/c1ccco1.Cn1ccnc1C(=O)CC(C[N+](=O)[O-])c1ccco1,"['75-52-5', '860772-74-3']",1007843-93-7,31-254-CAS-15309752,1,2,100,584-08-7,68-12-2,,"regioselective, Michael addition",DNA vs. Mirror Image DNA: A Universal Approach to Tune the Absolute,"Wang, Jocelyn; Benedetti, Erica; Bethge, Lucas; Vonhoff, Stefan;","Angewandte Chemie, International Edition (2013), 52(44), 11546-11549",,,,
CC(C=O)c1ccccc1,CCCC/C=C/[N+](=O)[O-].CCCC[C@@H](C[N+](=O)[O-])[C@](C)(C=O)c1ccccc1,CC(C=O)c1ccccc1>>CCCC/C=C/[N+](=O)[O-].CCCC[C@@H](C[N+](=O)[O-])[C@](C)(C=O)c1ccccc1,"['93-53-8', '85150-65-8']",916516-38-6,31-254-CAS-5815282,1,3,100,"['7732-18-5', '7647-01-0']","['75-09-2', '7732-18-5']",,"stereoselective, syn:anti >10:1, 99% ee",A chiral primary amine thiourea catalyst for the highly enantioselective,"Lalonde, Mathieu P.; Chen, Yonggang; Jacobsen, Eric N.","Angewandte Chemie, International Edition (2006), 45(38), 6366-6370",916516-36-4,,,
O=C(C=Cc1ccccc1)c1ccccc1,N#CC(c1ccccc1)n1cccc1.N#CC(c1ccccc1)(C(CC(=O)c1ccccc1)c1ccccc1)n1cccc1,O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1ccccc1)n1cccc1.N#CC(c1ccccc1)(C(CC(=O)c1ccccc1)c1ccccc1)n1cccc1,"['94-41-7', '82636-38-2']",1443442-50-9,31-254-CAS-6018686,1,1,100,"['74-88-4', '40949-94-8']",68-12-2,"In contrast, when 2-phenyl-2-(1H-pyrrol-1-yl)acetonitrile (1d) was","regioselective, Michael Addition, alternative reaction conditions shown",One-Pot Synthesis of Polysubstituted Indolizines by an,"Kucukdisli, Murat; Opatz, Till","Journal of Organic Chemistry (2013), 78(13), 6670-6676",,,,
C#Cc1ccccc1CC,CC1C=Cc2ccccc21,C#Cc1ccccc1CC>>CC1C=Cc2ccccc21,75659-49-3,767-59-9,31-254-CAS-7028384,1,1,100,,108-88-3,Typical Procedure for Catalytic Cycloisomerization of,alternative preparation shown,Platinum and Ruthenium Chloride-Catalyzed Cycloisomerization of,"Tobisu, Mamoru; Nakai, Hiromi; Chatani, Naoto","Journal of Organic Chemistry (2009), 74(15), 5471-5475",10025-65-7,,,
C=CC(=O)OC,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,C=CC(=O)OC>>CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['96-33-3', '81477-94-3']",212121-62-5,31-254-CAS-14329912,1,1,100,,141-78-6,General/Typical Procedure: General Procedure for Glycinate-Michael,"regioselective, stereoselective, Michael addition, alternatively reaction",Enantioselective Bronsted Base Catalysis with Chiral Cyclopropenimines,"Bandar, Jeffrey S.; Lambert, Tristan H.","Journal of the American Chemical Society (2012), 134(12), 5552-5555",1366421-69-3,,derivatives 1,
C=CC(=O)OC,[2H]C1(C(=O)OC)CCCC1=O.[2H]C(CC1(C(=O)OC)CCCC1=O)C(=O)OC,C=CC(=O)OC>>[2H]C1(C(=O)OC)CCCC1=O.[2H]C(CC1(C(=O)OC)CCCC1=O)C(=O)OC,"['96-33-3', '86422-35-7']",1275590-04-9,31-116-CAS-6684248,1,1,100,,75-09-2,,Michael addition,"N-Heterocyclic Carbene-Catalyzed Michael Additions of 1,3-Dicarbonyl","Boddaert, Thomas; Coquerel, Yoann; Rodriguez, Jean","Chemistry - A European Journal (2011), 17(7), 2266-2271, S2266/1-S2266/19",244187-81-3,,,
C=C(Cl)C#N,CCOC(=O)C(C#N)n1cccc1.CCOC(=O)C(C#N)(CC(Cl)C#N)n1cccc1,C=C(Cl)C#N>>CCOC(=O)C(C#N)n1cccc1.CCOC(=O)C(C#N)(CC(Cl)C#N)n1cccc1,"['920-37-6', '916600-57-2']",934295-95-1,31-254-CAS-12961450,1,1,100,,108-88-3,General/Typical Procedure: General Procedure for the Asymmetric Conjugate,Michael addition,Asymmetric carbon-carbon-bond-forming reactions catalyzed by bifunctional,"Deng, Li; Li, Hongming; Wang, Yi; Wu, Fanghui","United States, US20070083049 A1 2007-04-12",934295-94-0,,,
C=CC(C)=O,C#CCC(C(=O)OC)C(=O)OC.C#CCC(CCC(C)=O)(C(=O)OC)C(=O)OC,C=CC(C)=O>>C#CCC(C(=O)OC)C(=O)OC.C#CCC(CCC(C)=O)(C(=O)OC)C(=O)OC,"['78-94-4', '95124-07-5']",181185-90-0,31-254-CAS-12761013,1,1,100,,75-05-8,General/Typical Procedure: Model Procedure for the NaB(OMe)4-Catalyzed,Michael addition,Sodium Tetramethoxyborate: An Efficient Catalyst for Michael Additions of,"Campana, Araceli G.; Fuentes, Noelia; Gomez-Bengoa, Enrique; Mateo,","Journal of Organic Chemistry (2007), 72(21), 8127-8130",18024-69-6,,,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,C=CC(C)=O.CC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>C=CC(C)=O.CC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '78-94-4']",356054-23-4,31-254-CAS-1141457,1,3,100,"['534-17-8', '7732-18-5']",108-90-7,,"green chemistry-catalyst, stereoselective, Michael reaction, optimization",Asymmetric michael reaction promoted by new chiral phase-transfer,"Arai, Shigeru; Tokumaru, Kazuyuki; Aoyama, Toyohiko","Chemical & Pharmaceutical Bulletin (2004), 52(5), 646-648",732298-79-2,,,
C=CC(C)=O,CC(C)(C)OC(=O)C1CCCC1=O.CC(=O)CC[C@]1(C(=O)OC(C)(C)C)CCCC1=O,C=CC(C)=O>>CC(C)(C)OC(=O)C1CCCC1=O.CC(=O)CC[C@]1(C(=O)OC(C)(C)C)CCCC1=O,"['78-94-4', '84109-76-2']",473758-05-3,31-254-CAS-17418748,1,1,100,,60-29-7,,"stereoselective, 93% ee, Michael addition","(1S,2S)-N,N'-Bis(o-(diphenylphosphino)-benzylidene)cyclohexane-1,2-diamine","Gao, Jing-Xing; Yu, Shen-Luan; Li, Yan-Yun; Dong, Zhen-Rong","e-EROS Encyclopedia of Reagents for Organic Synthesis (2012), 1-6","['17950-40-2', '174677-80-6']",,,
C=CC(C)=O,CC(C)(C)OC(=O)C1CCCC1=O.CC(=O)CC[C@]1(C(=O)OC(C)(C)C)CCCC1=O,C=CC(C)=O>>CC(C)(C)OC(=O)C1CCCC1=O.CC(=O)CC[C@]1(C(=O)OC(C)(C)C)CCCC1=O,"['78-94-4', '84109-76-2']",473758-05-3,31-254-CAS-5823535,1,1,100,,7732-18-5,,"stereoselective, Michael reaction",Chiral Lewis acid-catalyzed enantioselective michael reactions in water,"Kobayashi, Shu; Kakumoto, Kentaro; Mori, Yuichiro; Manabe, Kei","Israel Journal of Chemistry (2002), 41(4), 247-249","['2923-28-6', '99646-28-3']",,,
CCOC(=O)C1Cc2ccccc2C1=O,C=CC(C)=O.CCOC(=O)C1(CCC(C)=O)Cc2ccccc2C1=O,CCOC(=O)C1Cc2ccccc2C1=O>>C=CC(C)=O.CCOC(=O)C1(CCC(C)=O)Cc2ccccc2C1=O,"['6742-25-2', '78-94-4']",176101-56-7,31-254-CAS-888175,1,4,100,26042-63-7,75-09-2,"General/Typical Procedure: Complex 1 (30 mg, 36μmol, 5 mol %) and","Michael addition, decane as internal standard added in 2nd step, in-situ","Acidic ruthenium PNNP complexes of non-enolized 1,3-dicarbonyl compounds","Santoro, Francesco; Althaus, Martin; Bonaccorsi, Cristina; Gischig,","Organometallics (2008), 27(15), 3866-3878","['17950-40-2', '174677-80-6']",,,
C=CC(C)=O,CC1C(=O)CCC1=O.CC(=O)CCC1(C)C(=O)CCC1=O,C=CC(C)=O>>CC1C(=O)CCC1=O.CC(=O)CCC1(C)C(=O)CCC1=O,"['78-94-4', '765-69-5']",25112-78-1,31-254-CAS-16947874,1,1,100,,,,"Michael addition, no experimental detail",Methyl vinyl ketone,"Colapret, John A.; Buonora, Paul T.; Inomata, Kohei","e-EROS Encyclopedia of Reagents for Organic Synthesis (2008), 1-10",,,,
O=C1C=CCCC1,CC[N+](=O)[O-].CC(C1CCCC(=O)C1)[N+](=O)[O-],O=C1C=CCCC1>>CC[N+](=O)[O-].CC(C1CCCC(=O)C1)[N+](=O)[O-],"['930-68-7', '79-24-3']",59969-93-6,31-254-CAS-9385071,1,2,100,,67-56-1,,other catalysts gave slightly lower yields,Catalytic C-C bond formation promoted by Mg-Al-O-t-Bu hydrotalcite,"Choudary, B. M.; Lakshmi Kantam, M.; Kavita, B.; Venkat Reddy, C.;","Tetrahedron (2000), 56(47), 9357-9364","['1344-28-1', '7789-23-3']",,,
