Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:CAT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:RGT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:CAT:AMD
[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2,CC=CC(=O)OC(C)(C)C.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](C)CC(=O)OC(C)(C)C)O1)C2,[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2>>CC=CC(=O)OC(C)(C)C.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](C)CC(=O)OC(C)(C)C)O1)C2,"['810671-46-6', '3246-27-3']",810671-52-4,31-254-CAS-12476468,1,3,100,,"['109-99-9', '7732-18-5']","stereoselective, de >95%, Michael addition",Highly Stereoselective Michael Addition Reactions of CamTHP-Desymmetrized,"Dixon, Darren J.; Horan, Richard A. J.; Monck, Nathaniel J. T.; Berg,","Organic Letters (2004), 6(24), 4427-4429","['4039-32-1', '64-19-7']",General/Typical Procedure: General procedure for the Michael reaction of,
C/C=C/C(=O)N(C)C,CCC(=O)N(c1ccccc1)c1ccccc1.C[C@H](C(=O)N(c1ccccc1)c1ccccc1)[C@@H](C)CC(=O)N(C)C,C/C=C/C(=O)N(C)C>>CCC(=O)N(c1ccccc1)c1ccccc1.C[C@H](C(=O)N(c1ccccc1)c1ccccc1)[C@@H](C)CC(=O)N(C)C,"['14064-75-6', '20619-23-2']",1686151-34-7,31-254-CAS-14283327,1,3,100,"['40949-94-8', '674287-43-5']",108-88-3,"stereoselective, catalyst prepared and used, 1,4-addition reaction,","Catalytic Asymmetric Direct-Type 1,4-Addition Reactions of Simple Amides","Suzuki, Hirotsugu; Sato, Io; Yamashita, Yasuhiro; Kobayashi, Shu","Journal of the American Chemical Society (2015), 137(13), 4336-4339",7732-18-5,,
O=C(/C=C/CCC[C@@H](O)C[N+](=O)[O-])c1ccccc1,O=C(C[C@H]1CCC[C@@H](O)[C@@H]1[N+](=O)[O-])c1ccccc1,O=C(/C=C/CCC[C@@H](O)C[N+](=O)[O-])c1ccccc1>>O=C(C[C@H]1CCC[C@@H](O)[C@@H]1[N+](=O)[O-])c1ccccc1,1443014-04-7,1429619-06-6,31-254-CAS-14687349,1,1,100,852913-25-8,75-09-2,"stereoselective, alternative preparation shown, 99% ee; 99:1 dr; 99% ee",One-pot sequential organocatalysis: highly stereoselective synthesis of,"Dai, Qipu; Arman, Hadi; Zhao, John Cong-Gui","Chemistry - A European Journal (2013), 19(5), 1666-1671",,,
CCOC(=O)CC(=O)OCC,O=[N+]([O-])C=Cc1cc(F)c(F)cc1F.CCOC(=O)C(C(=O)OCC)[C@@H](C[N+](=O)[O-])c1cc(F)c(F)cc1F,CCOC(=O)CC(=O)OCC>>O=[N+]([O-])C=Cc1cc(F)c(F)cc1F.CCOC(=O)C(C(=O)OCC)[C@@H](C[N+](=O)[O-])c1cc(F)c(F)cc1F,"['105-53-3', '913623-45-7']",936482-23-4,31-254-CAS-13516448,1,3,100,"['60871-83-2', '302598-39-6']",67-66-3,"regioselective, stereoselective, molecular sieves used in second stage",Discovery and Structure-Activity Relationships of Piperidinone- and,"Pei, Zhonghua; Li, Xiaofeng; Von Geldern, Thomas W.; Longenecker, Kenton;","Journal of Medicinal Chemistry (2007), 50(8), 1983-1987",109-02-4,2.2 Synthesis of compounds 31-35. (R)-Diethyl,
CCCCC=O,CCOC(=O)/C=C/C(=O)SCC.CCC[C@H](C=O)[C@@H](CC(=O)SCC)C(=O)OCC,CCCCC=O>>CCOC(=O)/C=C/C(=O)SCC.CCC[C@H](C=O)[C@@H](CC(=O)SCC)C(=O)OCC,"['110-62-3', '89317-79-3']",1214273-56-9,31-254-CAS-2056830,1,1,100,"['64-19-7', '943757-71-9']",67-56-1,"stereoselective, >99% ee (syn-isomer), alternative catalyst additive",Enantioselective organocatalytic conjugate addition of aldehydes to,"Zhu, Shaolin; Wang, You; Ma, Dawei","Advanced Synthesis & Catalysis (2009), 351(16), 2563-2566",,,
COC(=O)C(=Cc1cccc(OC)c1)C(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)C(N=C(c1ccccc1)c1ccccc1)C(c1cccc(OC)c1)C(C(=O)OC)C(=O)OC,COC(=O)C(=Cc1cccc(OC)c1)C(=O)OC>>COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)C(N=C(c1ccccc1)c1ccccc1)C(c1cccc(OC)c1)C(C(=O)OC)C(=O)OC,"['22621-56-3', '81167-39-7']",1259433-61-8,31-254-CAS-3114325,1,2,100,"['34946-82-2', '706814-27-9', '865-47-4']",109-99-9,"stereoselective, Michael addition, Schlenk tube used, molecular sieves",Cu-catalyzed asymmetric Michael addition of glycine derivatives to,"Hou, Xuelong; Li, Qing; Yao, Jun; Dai, Lixin","Chinese Journal of Chemistry (2010), 28(9), 1761-1764",67-63-0,,
CCOC(=O)CC(C)=O,CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC.CCOC(=O)C(C(C)=O)C(C(C(=O)OCC)C(=O)OCC)[Si](C)(C)c1ccccc1,CCOC(=O)CC(C)=O>>CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC.CCOC(=O)C(C(C)=O)C(C(C(=O)OCC)C(=O)OCC)[Si](C)(C)c1ccccc1,"['141-97-9', '130247-53-9']",504413-96-1,31-254-CAS-8205013,1,1,100,109-89-7,,"regioselective, Michael addn.",An expeditious synthesis of a β-silylethanol anchoring group by a silicon,"Iyer, Prema; Ghosh, Sunil K.","Tetrahedron Letters (2002), 43(51), 9437-9440",,,
CCC=C(C(=O)OC)C(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1.CCC(C(N=C(c1ccccc1)c1ccccc1)C(=O)OC)C(C(=O)OC)C(=O)OC,CCC=C(C(=O)OC)C(=O)OC>>COC(=O)CN=C(c1ccccc1)c1ccccc1.CCC(C(N=C(c1ccccc1)c1ccccc1)C(=O)OC)C(C(=O)OC)C(=O)OC,"['18795-82-9', '81167-39-7']",1259433-67-4,31-254-CAS-7647898,1,2,100,"['34946-82-2', '706814-27-9', '865-47-4']",109-99-9,"stereoselective, Michael addition, Schlenk tube used, molecular sieves",Cu-catalyzed asymmetric Michael addition of glycine derivatives to,"Hou, Xuelong; Li, Qing; Yao, Jun; Dai, Lixin","Chinese Journal of Chemistry (2010), 28(9), 1761-1764",67-63-0,,
CC[N+](=O)[O-],O=C(/C=C/c1ccccc1)c1ccccn1.C[C@H]([C@@H](CC(=O)c1ccccn1)c1ccccc1)[N+](=O)[O-],CC[N+](=O)[O-]>>O=C(/C=C/c1ccccc1)c1ccccn1.C[C@H]([C@@H](CC(=O)c1ccccn1)c1ccccc1)[N+](=O)[O-],"['79-24-3', '53940-12-8']",1430734-11-4,31-254-CAS-21100102,1,1,100,"['7758-98-7', '237409-29-9']","['75-05-8', '7732-18-5']","biotransformation, enzymic (H52A mutant used), regioselective,",Cupin variants as macromolecular ligand library for stereoselective,"Fujieda, Nobutaka; Ichihashi, Haruna; Yuasa, Miho; Nishikawa, Yosuke;","ChemRxiv (2019), 1-4",,,
CCOC(=O)Cc1ccccc1,CCOC(=O)/C=C/c1ccccc1.CCOC(=O)CC(c1ccccc1)C(C(=O)OCC)c1ccccc1,CCOC(=O)Cc1ccccc1>>CCOC(=O)/C=C/c1ccccc1.CCOC(=O)CC(c1ccccc1)C(C(=O)OCC)c1ccccc1,"['101-97-3', '4192-77-2']",95002-28-1,31-254-CAS-12066990,1,1,100,,64-17-5,"Classification: ""1,4-Addition""; C-Alkylation; # Conditions: NaOEt EtOH;",Polycyclic aromatic hydrocarbons. XXXIV. Cyclization of,"Badger, G. M.; Campbell, J. E.; Cook, J. W.","Journal of the Chemical Society (1949), 1084-8",,,
CCCC/C=C/[N+](=O)[O-],COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC)cc2)cc1.CCCC[C@H]1C(C(=O)/C=C/c2ccc(OC)cc2)=C(O)C[C@H](c2ccc(OC)cc2)[C@@H]1[N+](=O)[O-],CCCC/C=C/[N+](=O)[O-]>>COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC)cc2)cc1.CCCC[C@H]1C(C(=O)/C=C/c2ccc(OC)cc2)=C(O)C[C@H](c2ccc(OC)cc2)[C@@H]1[N+](=O)[O-],"['85150-65-8', '160096-61-7']",1264194-26-4,31-118-CAS-14013660,1,1,100,,"['109-99-9', '7732-18-5']","stereoselective, double Michael addition",Stereoselective construction of carbocycles and heterocycles via cascade,"Ayyagari, Narasimham; Jose, Deena; Mobin, Shaikh M.; Namboothiri, Irishi","Tetrahedron Letters (2011), 52(2), 258-262",584-08-7,,
CC[N+](=O)[O-],O=C(/C=C/c1ccccc1)c1ccccn1.C[C@@H]([C@H](CC(=O)c1ccccn1)c1ccccc1)[N+](=O)[O-],CC[N+](=O)[O-]>>O=C(/C=C/c1ccccc1)c1ccccn1.C[C@@H]([C@H](CC(=O)c1ccccn1)c1ccccc1)[N+](=O)[O-],"['79-24-3', '53940-12-8']",2408400-35-9,31-254-CAS-21100103,1,1,100,"['7758-98-7', '237409-29-9']","['75-05-8', '7732-18-5']","biotransformation, enzymic (H54A/H58A mutant used), regioselective,",Cupin variants as macromolecular ligand library for stereoselective,"Fujieda, Nobutaka; Ichihashi, Haruna; Yuasa, Miho; Nishikawa, Yosuke;","ChemRxiv (2019), 1-4",,,
CCCCC=O,CCOC(=O)/C=C/C(=O)SCc1ccccc1.CCC[C@H](C=O)[C@@H](CC(=O)SCc1ccccc1)C(=O)OCC,CCCCC=O>>CCOC(=O)/C=C/C(=O)SCc1ccccc1.CCC[C@H](C=O)[C@@H](CC(=O)SCc1ccccc1)C(=O)OCC,"['110-62-3', '1214273-79-6']",1214273-70-7,31-254-CAS-4886921,1,1,100,"['64-19-7', '943757-71-9']",67-56-1,"stereoselective, >99% ee (syn-isomer), 92:8 syn:anti, Michael addition",Enantioselective organocatalytic conjugate addition of aldehydes to,"Zhu, Shaolin; Wang, You; Ma, Dawei","Advanced Synthesis & Catalysis (2009), 351(16), 2563-2566",,,
C=CC#N,CCC(C#N)c1ccccc1.CCC(C#N)(CCC#N)c1ccccc1,C=CC#N>>CCC(C#N)c1ccccc1.CCC(C#N)(CCC#N)c1ccccc1,"['107-13-1', '769-68-6']",74220-50-1,31-254-CAS-11785912,1,2,100,25322-68-3,75-05-8,"regioselective, Michael addition, phase transfer catalysis, optimization",Process for preparation of 2-substituted group-2-phenylglutaronitrile by,"Hu, Yulai; Sun, Guisheng; Huang, Danfeng","China, CN102190599 A 2011-09-21","['584-08-7', '7732-18-5']",,
CCOC(=O)CC(=O)OCC,[H][C@@]1([C@]23OCC[C@](C)(CO2)O3)C=CC(=O)N1C(=O)OC(C)(C)C.[H][C@@]1([C@]23OCC[C@](C)(CO2)O3)[C@@H](C(C(=O)OCC)C(=O)OCC)CC(=O)N1C(=O)OC(C)(C)C,CCOC(=O)CC(=O)OCC>>[H][C@@]1([C@]23OCC[C@](C)(CO2)O3)C=CC(=O)N1C(=O)OC(C)(C)C.[H][C@@]1([C@]23OCC[C@](C)(CO2)O3)[C@@H](C(C(=O)OCC)C(=O)OCC)CC(=O)N1C(=O)OC(C)(C)C,"['105-53-3', '865183-90-0']",1101927-64-3,31-254-CAS-12491901,1,3,100,,"['109-99-9', '7732-18-5']","stereoselective, Michael addition",Synthesis of non-proteinogenic amino acids using Michael addition to,"Oba, Makoto; Saegusa, Tsuneki; Nishiyama, Naohiro; Nishiyama, Kozaburo","Tetrahedron (2009), 65(1), 128-133","['7646-69-7', '75-77-4', '12125-02-9']",,
CC1CCC(=O)CC1,COc1cccc(C=C[N+](=O)[O-])c1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2cccc(OC)c2)CC(C)CCC1=O,CC1CCC(=O)CC1>>COc1cccc(C=C[N+](=O)[O-])c1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2cccc(OC)c2)CC(C)CCC1=O,"['589-92-4', '3179-09-7']",2133825-78-0,31-254-CAS-17778742,1,2,100,"['65-85-0', '23356-96-9']",108-20-3,"stereoselective, ee (79%), diastereomeric ratio (98:2), Michael addition",Asymmetric Synthesis of Functionalized Nitrophenols via a,"Liu, Xue-Li; Zhang, Xiao-Long; Guo, Yan-Jun; Meng, Chen-Hong; Xia,","Asian Journal of Organic Chemistry (2017), 6(8), 967-972",,,
CCOC(=O)C1CCCCC1=O,C=C(C(OC(C)=O)OC(C)=O)S(=O)(=O)c1ccccc1.CCOC(=O)C1(CC(=COC(C)=O)S(=O)(=O)c2ccccc2)CCCCC1=O,CCOC(=O)C1CCCCC1=O>>C=C(C(OC(C)=O)OC(C)=O)S(=O)(=O)c1ccccc1.CCOC(=O)C1(CC(=COC(C)=O)S(=O)(=O)c2ccccc2)CCCCC1=O,"['1655-07-8', '848778-96-1']",848778-99-4,31-254-CAS-1652349,1,2,100,,"['109-99-9', '7732-18-5']","stereoselective, Michael addition",Preparation of complex bridged bicyclic ring systems from,"Kraus, George A.; Jeon, Insik","Tetrahedron (2005), 61(8), 2111-2116","['7646-69-7', '64-19-7']",,
O=[N+]([O-])/C=C/c1ccccc1,COP(=O)(CC(=O)c1ccccc1)c1ccccc1.CO[P@](=O)(c1ccccc1)[C@@H](C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccccc1,O=[N+]([O-])/C=C/c1ccccc1>>COP(=O)(CC(=O)c1ccccc1)c1ccccc1.CO[P@](=O)(c1ccccc1)[C@@H](C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccccc1,"['5153-67-3', '51104-33-7']",2095523-54-7,31-254-CAS-17073949,1,1,100,941321-23-9,108-88-3,"regioselective, stereoselective, dr 3:2:1, Michael addition, ee 92%, 28%",Enantioselective addition of β-keto phosphinate to ω-nitrostyrene in the,"Sibiryakova, A. E.; Reznikov, A. N.; Rybakov, V. B.; Klimochkin, Yu. N.","Russian Journal of Organic Chemistry (2017), 53(2), 153-156",,,
C=CC#N,N#CC(Cc1ccccc1)C(N)=O.N#CCCC(C#N)(Cc1ccccc1)C(N)=O,C=CC#N>>N#CC(Cc1ccccc1)C(N)=O.N#CCCC(C#N)(Cc1ccccc1)C(N)=O,"['107-13-1', '7216-46-8']",74203-85-3,31-254-CAS-6579955,1,1,100,,,"Classification: ""1,4-Addition""; C-Alkylation; # Conditions: NH3 liq. 2h",Solvent-catalyzed Michael reaction of derivatives of malonic and,"Wakamatsu, Shigeru","Journal of Organic Chemistry (1962), 271285-8",7664-41-7,,
CN(C)C(=O)/C=C/c1ccccc1,CCC(=O)N(c1ccccc1)c1ccccc1.C[C@H](C(=O)N(c1ccccc1)c1ccccc1)[C@H](CC(=O)N(C)C)c1ccccc1,CN(C)C(=O)/C=C/c1ccccc1>>CCC(=O)N(c1ccccc1)c1ccccc1.C[C@H](C(=O)N(c1ccccc1)c1ccccc1)[C@H](CC(=O)N(C)C)c1ccccc1,"['17431-39-9', '20619-23-2']",1686151-14-3,31-254-CAS-1211074,1,3,100,"['40949-94-8', '674287-43-5']",108-88-3,"stereoselective, catalyst prepared and used, 1,4-addition reaction,","Catalytic Asymmetric Direct-Type 1,4-Addition Reactions of Simple Amides","Suzuki, Hirotsugu; Sato, Io; Yamashita, Yasuhiro; Kobayashi, Shu","Journal of the American Chemical Society (2015), 137(13), 4336-4339",7732-18-5,,
CC[N+](=O)[O-],COC(=O)C(C#N)=Cc1ccccc1Br.COC(=O)C(C#N)C(c1ccccc1Br)C(C)[N+](=O)[O-],CC[N+](=O)[O-]>>COC(=O)C(C#N)=Cc1ccccc1Br.COC(=O)C(C#N)C(c1ccccc1Br)C(C)[N+](=O)[O-],"['79-24-3', '109460-96-0']",1807449-82-6,31-254-CAS-8497674,1,1,100,1344-28-1,,"microwave irradiation, NO SOLVENT",Michael monoaddition of nitromethane on gem-diactivated alkenes in dry,"Michaud, David; Texier-Boullet, Francoise; Hamelin, Jack","Tetrahedron Letters (1997), 38(43), 7563-7564",,,
COc1ccc(C(=O)CBr)cc1,CC(=O)C(=Cc1cccs1)C(C)=O.COc1ccc(C(=O)[C@H]2OC(C)=C(C(C)=O)[C@@H]2c2cccs2)cc1,COc1ccc(C(=O)CBr)cc1>>CC(=O)C(=Cc1cccs1)C(C)=O.COc1ccc(C(=O)[C@H]2OC(C)=C(C(C)=O)[C@@H]2c2cccs2)cc1,"['2632-13-5', '53839-29-5']",2148898-85-3,31-254-CAS-17926014,1,1,100,,109-99-9,"stereoselective, diastereomeric ratio is grater than 95:5","Enantioselective Synthesis of 2,3-Dihydrofurans via Ammonium Ylides","Worgull, Dennis; Oehler, Laura; Strache, Joss Pepe; Friedrichs, Teresa;","European Journal of Organic Chemistry (2017), 2017(40), 6077-6080","['110-86-1', '584-08-7']",,
O=[N+]([O-])/C=C/c1ccccc1,COC(=O)C1C(=O)N(Cc2ccccc2)c2ccc(-c3ccccc3)cc21.COC(=O)c1c(O)n(Cc2ccccc2)c2ccc(-c3ccccc3)cc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccccc2)c2ccc(-c3ccccc3)cc21,O=[N+]([O-])/C=C/c1ccccc1>>COC(=O)C1C(=O)N(Cc2ccccc2)c2ccc(-c3ccccc3)cc21.COC(=O)c1c(O)n(Cc2ccccc2)c2ccc(-c3ccccc3)cc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccccc2)c2ccc(-c3ccccc3)cc21,"['5153-67-3', '3055571-33-7', '3055571-34-8']",3055571-53-1,31-614-CAS-42083794,1,1,100,"['65-85-0', '3055571-24-6']",75-09-2,"stereoselective (dr = 89:11, er = 92:8), Michael addition, catalyst",New Entries in Organocatalysts from an Alkaloid Library; Development of,"Yamanishi, Kyosuke; Ashihara, Gin; Shiomi, Shinya; Harada, Shingo;","Journal of the American Chemical Society (2024), 146(39), 27152-27160",,,
